trial,seed,seeds,seed_start,eng,euro,other,uk_missing,uk_floor,zone_start,zone_end,wrong_at_rank_test_mean,wrong_at_rank_test_median,wrong_at_rank_train_mean,incorrect_zone_closeness_test_mean,incorrect_zone_closeness_test_median,incorrect_zone_closeness_train_mean,correct_zone_closeness_test_mean,correct_zone_closeness_test_median,correct_zone_closeness_train_mean,correct_overlap_test_mean,correct_overlap_train_mean,incorrect_count,correct_count
0,1,20,0,1.1542301210811698,1.0671821220562006,0.8818873094883071,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.08028426337913475,0.05827319505014267,0.06729934607256363,0.343254662004662,0.5113636363636364,0.24823717948717947,0.6,0.4,26,4
1,1,20,0,1.127534512869711,1.0486305261275823,0.724745532394369,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.07739760667664368,0.06293170303825338,0.058699226308973,0.3738970588235294,0.27941176470588236,0.41940359477124184,0.45,0.55,26,4
2,1,20,0,1.3257964863613814,1.136617005340654,0.5469297933871174,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.02715260609765333,0.024618976602663538,0.026839173433384926,0.07373991935483871,0.07168458781362007,0.07919466845878136,0.0,0.0,26,4
3,1,20,0,1.1507295311759609,1.0141737382610032,0.7163835339525266,p10,0.05,90.0,95.0,0.0048913043478260865,0.0,0.005978260869565218,0.13787047931241037,0.12187442334980475,0.09547297324425341,0.3810312831389183,0.39196712619300106,0.4029029692470838,0.5,0.5,26,4
4,1,20,0,1.381140041228971,0.9006318160053333,0.7226935970274007,p10,0.05,90.0,95.0,0.002150537634408602,0.0,0.008602150537634409,0.10372987060752478,0.10561174442318096,0.11017403270468916,0.025450879765395895,0.026515151515151516,0.02552663734115347,0.0,0.0,26,4
5,1,20,0,1.3607700161703913,0.9726353477769611,0.9686286663811358,p10,0.05,90.0,95.0,0.002777777777777778,0.0,0.008333333333333333,0.10260223610992768,0.08317834457654152,0.10778480725941997,0.028011423319327728,0.028991596638655463,0.026649816176470588,0.0,0.0,26,4
6,1,20,0,1.450713728805742,0.9091769949100661,0.5127229304967305,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04814065454623908,0.03337579631697279,0.03604711523319854,0.05397727272727273,0.05525846702317291,0.05765374331550802,0.0,0.0,26,4
7,1,20,0,1.2707062363967483,1.181744748833553,0.6906021188441063,p10,0.05,90.0,95.0,0.003888888888888889,0.0,0.007222222222222223,0.07999541142321666,0.029912865661020617,0.07124885025972355,0.0775,0.07777777777777778,0.08083333333333334,0.0,0.0,26,4
8,1,20,0,1.1082996985653066,1.0266349726748152,0.514520393787434,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.041001899413348065,0.02583756582413052,0.03813023415162845,0.06641483516483516,0.0625,0.07026098901098901,0.0,0.0,26,4
9,1,20,0,1.1108458331365174,1.0313662780951716,0.7479061206909253,p10,0.05,90.0,95.0,0.0032258064516129037,0.0,0.007526881720430108,0.10733435092782583,0.08097320721622445,0.10506627056054009,0.49967105263157896,0.53125,0.5447368421052632,0.95,1.05,26,4
10,1,20,0,1.1165422251287862,0.9692599624622953,0.6093905186688443,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03465222577796396,0.033597513726550135,0.03127978942964493,0.3075,0.14583333333333334,0.35500000000000004,0.45,0.55,26,4
11,1,20,0,1.2298017328688668,0.9869344843771457,0.5107448526329544,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.028396559300115184,0.027686816018620324,0.027517636062264112,0.3278677462887989,0.19298245614035087,0.37793522267206475,0.45,0.55,26,4
12,1,20,0,1.4187889878312865,1.06693629679573,0.8211471814662228,p10,0.05,90.0,95.0,0.004838709677419355,0.0,0.0059139784946236566,0.1215742465224921,0.07164960304859685,0.08405259062855817,0.03448322510822511,0.036616161616161616,0.03487103174603175,0.0,0.0,26,4
13,1,20,0,1.1977630236528194,1.092953132947359,0.9299732643976449,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.05808255668194511,0.05931042111110927,0.05480771209627898,0.18703327922077922,0.26136363636363635,0.14129464285714285,0.0,0.0,26,4
14,1,20,0,1.0604449799029032,0.9998085556080387,0.8607422037916341,p10,0.05,90.0,95.0,0.007747252747252748,0.01098901098901099,0.014352869352869354,0.15898396129748674,0.19656619381759438,0.1348387346457602,0.3394633273703041,0.5116279069767442,0.24395945140131187,0.6,0.4,26,4
15,1,20,0,1.3555958848476397,1.180932176039838,0.7110534999807077,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.03266770457227498,0.03236285827874712,0.029995117275752985,0.10782051282051282,0.10416666666666666,0.11557692307692308,0.0,0.0,26,4
16,1,20,0,1.4150178466371635,1.1010916699242213,0.6516842554664588,p10,0.05,90.0,95.0,0.0,0.0,0.0,0.04006939393579069,0.04613031496690364,0.0361395504440555,0.489758064516129,0.5125,0.5388709677419354,0.95,1.05,26,4
17,1,20,0,1.2937903030717797,1.1647437002495573,0.9230987092141564,p10,0.05,90.0,95.0,0.007454233409610983,0.010526315789473684,0.013941647597254003,0.16080950840652045,0.1655675756125185,0.1593068071623541,0.06621794871794871,0.07692307692307693,0.06348290598290598,0.0,0.0,26,4
