alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_y_censored_lower_bound,bayes_is_censored,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_train_n_censored,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_unresolved_censored_tokens_count,bayes_likelihood,bayes_total_countries,bayes_target_total_nonzero,bayes_target_total_zero,bayes_target_total_one,bayes_target_total_multi,bayes_expected_total_nonzero_mean,bayes_expected_total_zero_mean,bayes_expected_total_one_mean,bayes_expected_total_multi_mean,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_use_censoring,bayes_alpha_prior_sigma,bayes_beta_prior_sigma,bayes_nb_alpha_sigma,bayes_nb_alpha_mean,bayes_nb_alpha_hdi_low,bayes_nb_alpha_hdi_high,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,True,censored,,2.0,True,9.206179494534213,6.602013446412699,11.898257204790648,46855.88326013539,736.5770329510676,147010.222519397,0.024547791876287917,0.020818720968849097,0.02858010343029942,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,21.065634938547873,0.92,0.01,2.70135305506553,0.8672606632046004,-1.2708775195656699,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,240
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,True,censored,,2.0,True,10.75727718953707,7.366971081790471,14.187858051850164,438956.8543738894,1582.8351166605182,1451137.227971137,0.023098073382380065,0.01929153509109455,0.02754502521343125,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,17.449397726957166,0.8901359999999999,,1.369624927090091,0.7627918645581626,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,242
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,,False,7.697405130282885,5.6155924258351115,9.86304117598595,5849.930964752677,274.67606916555155,19207.21402481085,0.02607086426083679,0.022231437571761707,0.030081162961772333,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,16.46203770461362,0.342005,0.15,1.00601628162323,-1.154653456593403,-0.8131687209569007,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,222
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,,False,7.813818051835782,6.059002938637538,9.628609299372703,4707.216536209275,427.94860924882363,15193.292090113368,0.025941027205875437,0.022312485746143477,0.029778595120169855,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,17.760233059555436,0.26438300000000003,,1.4840942307803846,-1.4261869781757015,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,,False,8.000063426913686,6.182466185576335,9.884916738146593,5921.949213823538,484.1845751022819,19632.011304334115,0.025749084256794414,0.022145416511107144,0.0295921319320389,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,15.400912712032026,0.9974729999999999,,0.6152426909446937,1.1382729602021704,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,230
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,True,censored,,2.0,True,8.611869817648262,6.531919923534941,10.746766577637224,13390.961152606396,686.7158917484284,46479.49905132698,0.0251324576211308,0.02153964017117245,0.029115016103191976,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,18.24025238193372,0.935,0.56,1.660867820614021,0.9197329368349434,0.5272641892544951,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,236
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,,False,8.319258953842533,6.25844399630762,10.411786628349297,9647.72916874754,522.4054480613848,33249.221831874434,0.025429303547336166,0.0217661445307848,0.029466982437888846,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,12.67888794332868,,,-0.3871796440474077,0.0,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,233
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,True,censored,,2.0,True,7.381064566478366,5.643525978136429,9.19321257432382,3089.815190788963,282.4569246751528,9830.181582059724,0.02639713310287436,0.02264312829675465,0.030322398141415133,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,17.713758095822914,0.957575,0.22,1.4669791985444292,0.9987037086486091,-0.5843143216525161,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,214
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,True,censored,,2.0,True,9.05079624446968,6.132045391345677,12.00404302869048,44153.27075003228,460.37685230344647,163414.15499874722,0.02472379678059223,0.02075944848470412,0.0292444625403116,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,17.131036537197033,0.970631,0.97,1.2523841249932623,1.0443755756164599,1.8676970994658904,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,239
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,True,censored,,2.0,True,8.926854880258345,6.2824630702891495,11.643032834877749,29666.794754388455,535.105052275802,113895.08309656309,0.024837182458272197,0.020972580732884116,0.02919294459509166,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,17.544851613664733,0.9395640000000001,0.8621,1.4047771083257714,0.935698500624869,1.514934389680989,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,238
THA,['Thai'],65859640,15.0,100.0,90.8672,2024,27.16,9424.76758538657,7.818619352454832,0.9086719999999999,1.25,1.0,0.75,0.75,False,7.104560484233837,5.328420363175378,7.104560484233837,7.104560484233837,11,False,Thailand,,25-05-2025,False,unknown,,,False,7.5146415466290675,5.793064342443849,9.330013276163031,3513.0770193083345,328.0166464099284,11271.281759350803,0.0262577288600834,0.02252604378825732,0.030149077255432772,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,16.166790572497078,0.5679099999999999,,0.8972875430096684,-0.3644035249625624,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,218
ARE,['Arabic'],11294243,24.0,54.0,100.0,2024,,5670.8964449129635,7.052857127514885,1.0,1.25,1.0,0.75,0.75,False,7.052857127514885,5.289642845636164,7.052857127514885,7.052857127514885,12,False,United Arab Emirates,,25-05-2025,False,unknown,,,False,6.937354741700219,5.43814208793063,8.533943104086362,1661.9703210434427,230.01444126511862,5084.454897811177,0.02686869860149567,0.023106880056910858,0.030810508201306496,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,16.23980368483258,1.0,,0.9241756064078789,1.1471127892330957,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,202
NLD,['Dutch'],18100436,52.5,5.75,97.0068,2023,90.0,541.5892661634281,7.257689036201425,0.9700679999999999,1.25,1.0,0.75,1.0,False,7.0404518879698434,7.0404518879698434,7.0404518879698434,7.0404518879698434,13,False,Netherlands,,25-05-2025,True,censored,,2.0,True,8.533507639171722,5.909820408893075,11.199610805994665,19302.06894396207,368.63994505290793,73101.99201742254,0.025232996544539654,0.02129944679202967,0.029666755581283396,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,15.539516387540328,0.99,,0.6662853638986594,1.1121312734795339,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,234
JPN,['Japanese'],123210000,36.0,138.0,86.9815,2023,,9297.2835255448,8.090645957573315,0.869815,1.25,1.0,0.75,0.75,False,7.037365213586633,5.278023910189975,7.037365213586633,7.037365213586633,14,False,Japan,,25-05-2025,True,censored,,2.0,True,8.161877593426913,6.2717332083468005,10.155664971035005,7494.210160804669,529.3941353880119,25736.498848113933,0.025588159807485713,0.021973262477512592,0.029457336010892714,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,16.83234696442963,0.933917,0.154,1.1423876611793338,0.9159444386788324,-0.800091326710936,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,232
BRA,['Portuguese'],213421037,-10.0,-55.0,84.4635,2024,5.0,8673.413338358518,8.329237225785352,0.8446349999999999,1.25,1.0,0.75,1.0,False,7.03516528420121,7.03516528420121,7.03516528420121,7.03516528420121,15,False,Brazil,,25-05-2025,True,censored,,2.0,True,7.509622553861593,5.462508666554835,9.72635931872383,5038.990694383602,235.68797048105623,16753.4471948401,0.026273285329586966,0.022341332785045635,0.030384790683171868,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,19.178777472104436,0.8446349999999999,0.05,2.0064923436361823,0.6036224697278804,-1.1401035771060217,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,216
FRA,['French'],66351959,46.0,2.0,88.6538,2024,39.0,933.9888303008761,7.821853749662105,0.886538,1.25,1.0,0.75,1.0,False,6.934370579517943,6.934370579517943,6.934370579517943,6.934370579517943,16,False,France,,25-05-2025,True,censored,,2.0,True,7.740730174322264,6.003232020785861,9.586952850926115,4389.849433788941,404.73486846361936,14573.400743189115,0.026022090240028096,0.022365077270577977,0.029902302642282417,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,18.010483843551544,0.886538,0.39,1.5762524573002998,0.7502055151900314,-0.02852506619901056,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,224
ITA,"['Italian', 'Catalan']",58927633,42.83333333,12.83333333,89.2207,2024,34.0,1648.6771163328056,7.7703189967427955,0.892207,1.25,1.0,0.75,1.0,False,6.932733001126899,6.932733001126899,6.932733001126899,6.932733001126899,17,False,Italy,,25-05-2025,True,censored,,2.0,True,7.539080718222077,5.86034514638986,9.313365050357998,3479.916880986917,350.8452172254119,11085.190207345999,0.026232517694251112,0.022518772580306465,0.03010301997145758,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,14.854211470395835,0.89473,0.9764,0.4139125849570517,0.7788623728953493,1.8886209302594346,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,220
TUR,['Turkish'],85664944,39.0,35.0,87.3079,2024,17.0,3233.5273059631077,7.932803135318054,0.873079,1.25,1.0,0.75,0.75,False,6.925963828580352,5.194472871435265,6.925963828580352,6.925963828580352,18,False,Türkiye,,25-05-2025,True,censored,,2.0,True,7.270596632094933,5.4899362107619805,9.159410262524235,2963.115592820537,242.24175694697837,9503.450943257627,0.02651957794835757,0.02265864792077895,0.03051942217137177,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,9.272657678041044,0.743146,,-1.6415698815311421,0.24859856449655585,0.0,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,210
CHL,['Spanish'],20206953,-30.0,-71.0,94.4574,2023,9.53,11434.350148808817,7.3055008313257455,0.944574,1.25,1.0,0.75,1.0,False,6.9005861422486845,6.9005861422486845,6.9005861422486845,6.9005861422486845,19,False,Chile,,25-05-2025,False,unknown,,,False,6.291699904304219,4.622802156038917,8.09326612961065,1018.1765504307427,101.77883338169622,3272.359410477217,0.02757995023118599,0.02355218890331977,0.031693600520845196,0.9,1.0,3138.0,28.0,6.0,4.0,18.0,27.0,3.4624030940872843,2.644417489744503,4.451161840659625,0.0,0.0,negbin,248.0,95.0,153.0,6.0,89.0,99.11095279062998,148.88904720937,9.58441595533262,89.52653683529736,95.0,1.0,6.0,1.0,False,True,True,2.0,1.0,5.0,0.04041373872251842,0.03437207515857135,0.046545114445742775,13.730253764146203,2.7154470463038853,2.088447144542691,1.245461789292928,2.928471058426447,0.6720803074074077,0.2858652572532328,1.346737440166805,0.5768266558439903,2.0413241525209425,0.39872499999999994,0.3058713322215732,0.8386560175304196,-0.2641019300218816,1.9293165789004783,16.82153731106627,0.944574,0.0953,1.138406860530662,0.9532242400174035,-0.9920020872704699,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0_eng1-usecensored1-seed1,nb-negbin-27-censored-eng1-expect0s-fixed-config-data-dist0-eng1-usecensored1-seed1_20251221T175515Z,183
