alpha_3,languages,population,latitude,longitude,internet_usage_pct,internet_usage_record_year,english_speakers_pct,uk_distance_km,pop_score,net_score,language_english_factor,language_euro_latin_factor,language_other_factor,language_factor,use_language_factor,total_score_base,total_score_with_language,total_score_no_language,total_score,model_rank,is_single_listen_candidate,country_name,predicted_single_listen_country,prediction_date,bayes_in_country_listens_map,bayes_label,bayes_y_observed,bayes_lp_mean,bayes_lp_hdi_low,bayes_lp_hdi_high,bayes_mu_mean,bayes_mu_hdi_low,bayes_mu_hdi_high,bayes_p_one_mean,bayes_p_one_hdi_low,bayes_p_one_hdi_high,bayes_hdi_prob,bayes_rhat_max,bayes_ess_bulk_min,bayes_train_n,bayes_train_n_zero,bayes_train_n_one,bayes_train_n_multi,bayes_alpha_mean,bayes_alpha_hdi_low,bayes_alpha_hdi_high,bayes_unresolved_label_tokens_count,bayes_number_of_countries_with_listens,bayes_aggregate_sigma,bayes_number_of_countries_with_one_listen,bayes_aggregate_one_sigma,bayes_use_distance,bayes_use_english,bayes_train_mean_log_population,bayes_train_std_log_population,bayes_beta_log_population_mean,bayes_beta_log_population_hdi_low,bayes_beta_log_population_hdi_high,bayes_train_mean_internet_rate,bayes_train_std_internet_rate,bayes_beta_internet_rate_mean,bayes_beta_internet_rate_hdi_low,bayes_beta_internet_rate_hdi_high,bayes_train_mean_log1p_uk_distance_km,bayes_train_std_log1p_uk_distance_km,bayes_beta_log1p_uk_distance_km_mean,bayes_beta_log1p_uk_distance_km_hdi_low,bayes_beta_log1p_uk_distance_km_hdi_high,bayes_train_mean_english_speakers_rate,bayes_train_std_english_speakers_rate,bayes_beta_english_speakers_rate_mean,bayes_beta_english_speakers_rate_hdi_low,bayes_beta_english_speakers_rate_hdi_high,bayes_x_log_population,bayes_x_internet_rate,bayes_x_log1p_uk_distance_km,bayes_x_english_speakers_rate,bayes_z_log_population,bayes_z_internet_rate,bayes_z_log1p_uk_distance_km,bayes_z_english_speakers_rate,run_label,run_id,bayes_rank
CHN,['Chinese'],1408280000,35.0,105.0,92.0,2024,1.0,7910.383493384459,9.14868901159969,0.92,1.25,1.0,0.75,0.75,False,8.416793890671714,6.312595418003786,8.416793890671714,8.416793890671714,1,False,China,,25-05-2025,False,unknown,,18.471672811202964,18.126083258158726,18.82693253348619,107674125.82372455,74483134.69351326,150118048.99086702,0.0,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,21.065634938547873,0.92,8.976057949814678,0.01,2.580245381036206,0.8332408901783718,0.31561816509784074,-1.1233538544594917,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,227
USA,['English'],340110988,38.0,-97.0,93.1444,2023,95.46,6978.644055694834,8.531620662955014,0.931444,1.25,1.0,0.75,1.25,False,7.94672687678547,9.933408595981838,7.94672687678547,7.94672687678547,2,False,United States,,25-05-2025,False,unknown,,7.366658086552407,7.003165258132563,7.71360157923826,1619.3319551602956,1100.109785079276,2238.5902208943176,1.0678869757374732e-283,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,17.449397726957166,0.8901359999999999,8.51073982360534,,1.2560053821472685,0.7249701187353262,-0.30180666064928563,0.0,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,226
RUS,['Russian'],146028325,60.0,100.0,94.365,2024,5.48,5586.827797984403,8.164437103716473,0.94365,1.25,1.0,0.75,0.75,False,7.70437107292205,5.778278304691537,7.70437107292205,7.70437107292205,3,False,Russian Federation,,25-05-2025,False,unknown,,12.220944198325112,11.986962340329288,12.457131355492754,205094.804797363,160646.62387147915,257077.11071491582,0.0,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,16.46203770461362,0.342005,8.838081925572382,0.15,0.8944412594452475,-1.262257520624698,0.13253949713562344,-0.6172978987863236,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,227
SAU,['Arabic'],35300280,25.0,45.0,100.0,2024,,5020.787822864553,7.547778150202912,1.0,1.25,1.0,0.75,0.75,False,7.547778150202912,5.660833612652184,7.547778150202912,7.547778150202912,4,False,Saudi Arabia,,25-05-2025,False,unknown,,7.136729935165435,7.00177663589143,7.270873358724668,1261.426035665248,1098.5832085628763,1437.805624941512,0.0,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,17.760233059555436,0.26438300000000003,8.546634970003979,,1.3698310402582063,-1.5436730651248334,-0.25417783799650817,0.0,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,227
KOR,['Korean'],51159889,37.0,127.5,97.8956,2024,,8800.76470074514,7.708929593532578,0.978956,1.25,1.0,0.75,0.75,False,7.546702879166279,5.660027159374709,7.546702879166279,7.546702879166279,5,False,"Korea, Republic of",,25-05-2025,False,unknown,,9.693270111921953,9.55949701602177,9.821333372603787,16260.479760292304,14178.712740765533,18422.598561541985,0.0,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,15.400912712032026,0.9974729999999999,8.450786304958566,,0.5058649363839726,1.114116240968856,-0.38135823777129557,0.0,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,227
DEU,['German'],83491249,51.0,9.0,93.5,2024,56.0,814.7812325454852,7.92164095799646,0.935,1.25,1.0,0.75,1.0,False,7.40673429572669,7.40673429572669,7.40673429572669,7.40673429572669,6,False,Germany,,25-05-2025,False,unknown,,0.12189577740196597,-0.22130359987019463,0.4662504064292514,1.1547086147478567,0.8014733174190142,1.5940061013296813,0.35641455757492296,0.3234790986732203,0.3678433374301709,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,18.24025238193372,0.935,6.704146221648854,0.56,1.545610655847437,0.887622807257319,-2.6989532084758854,0.864723114256526,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,7
MYS,"['English', 'Malay']",34231700,2.5,112.5,98.0206,2024,62.57,11343.95421480751,7.534428467419687,0.980206,1.25,1.0,0.75,1.25,False,7.385291990335582,9.231614987919478,7.385291990335582,7.385291990335582,7,False,Malaysia,,25-05-2025,False,unknown,,7.231543842987706,6.984275498187324,7.465836141277401,1397.0393394727837,1079.5240193309817,1747.3159417403435,0.0,0.0,0.0,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,12.67888794332868,,9.066585343713683,,-0.49092091193646514,0.0,0.4357378364692702,0.0,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,227
ESP,"['Spanish', 'Catalan', 'Basque', 'Galician']",49315949,40.0,-4.0,95.7575,2024,22.0,1563.936092002502,7.692987394784945,0.957575,1.25,1.0,0.75,1.0,False,7.366612404561193,7.366612404561193,7.366612404561193,7.366612404561193,8,False,Spain,,25-05-2025,False,unknown,,4.232953034000464,3.94145410147432,4.520048656656517,70.00433664477882,51.49342378480299,91.84006656555708,4.303934138696346e-18,1.1950898819916966e-38,2.2307299772823553e-21,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,17.713758095822914,0.957575,7.355600266359302,0.22,1.3528122435586265,0.9694675924611341,-1.8345469509456211,-0.3642699209497395,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,205
AUS,['English'],27536874,-27.0,133.0,97.0631,2023,97.0,15292.462466555582,7.439914637387663,0.970631,1.25,1.0,0.75,1.25,False,7.221411784402225,9.02676473050278,7.221411784402225,7.221411784402225,9,False,Australia,,25-05-2025,False,unknown,,4.9015694564519325,4.463529779828181,5.316639012126286,139.11495624832554,86.79333042473324,203.69810373953538,1.1422698545409907e-22,6.983275492720871e-87,1.7563995859781072e-36,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,17.131036537197033,0.970631,9.635180726298632,0.97,1.1394238093945255,1.01680161308665,1.190199967298008,2.346744127299375,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,209
CAN,"['English', 'French']",41651653,60.0,-95.0,93.9564,2023,86.21,5197.793133853403,7.619632241625957,0.9395640000000001,1.25,1.0,0.75,1.25,False,7.159132147471051,8.948915184338814,7.159132147471051,7.159132147471051,10,False,Canada,,25-05-2025,False,unknown,,2.6356270101356154,2.3292111007159835,2.9215548551680035,14.178648808844917,10.269836470786544,18.57013890146844,7.961597681231576e-05,1.5992129543851868e-07,0.0003559837871107629,0.9,1.0,3769.0,22.0,5.0,4.0,13.0,-2.255469148711845,-2.4096550597916706,-2.1052548685781374,5.0,95.0,1.0,6.0,1.0,True,True,14.01949574190159,2.7308019804754426,5.900347558575131,5.744005566079025,6.0565880422963225,0.6901696809523811,0.27582698083674123,2.5690220685528966,2.4666523957004425,2.674699380189112,8.738194412333426,0.7536433696948793,2.619907436986119,2.4970668463062125,2.741184877935188,0.32077500000000003,0.27664924882421066,-2.2568959923462524,-2.406235601958854,-2.116974592498396,17.544851613664733,0.9395640000000001,8.556181787988972,0.8621,1.290959907371008,0.9041694118938733,-0.24151028412569137,1.9567195728912692,nb-ablate-dist-eng-dist1_eng1-seed0,nb-ablate-dist-eng-dist1-eng1-seed0_20251221T141055Z,133
